2026-07-10 14:55:03 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:55:04 DEBUG   [BROKER] Routed message on topic 'alerts' from 'robot_console' to 2 subscribers
2026-07-10 14:55:04 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:04 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:55:05 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:05 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:55:06 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:06 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:55:07 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:07 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:55:08 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:08 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:55:09 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:09 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:55:10 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:10 DEBUG   [BROKER] Routed message on topic 'robot_telemetry' from 'robot_console' to 2 subscribers
2026-07-10 14:55:11 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
2026-07-10 14:55:12 DEBUG   [BROKER] Routed message on topic 'patient_vitals' from 'surgeon_console' to 2 subscribers
